file,seq_len_bp,n_orfs,orfs_per_kb,mean_cai_percent,n_nonstandard_start_orfs,pct_nonstandard_start_orfs,seq_shannon_entropy,seq_repeat_count,seq_repeat_fraction
0257_Peter_Carey_novelist_.fasta,1498,1,0.668,49.61,1,100.0,1.9639,883,0.5914
0258_Cygnus_NG-19.fasta,3600,3,0.833,47.47,3,100.0,1.9735,2663,0.7408
0259_1724.fasta,3975,6,1.509,53.63,6,100.0,1.9564,3060,0.7708
0260_Angelo_Dundee.fasta,4823,2,0.415,48.02,2,100.0,1.9642,3695,0.7669
0261_Leopold_Danis.fasta,4560,3,0.658,47.24,2,66.7,1.9727,3569,0.7835
0262_IP_Phone.fasta,1247,4,3.208,52.48,4,100.0,1.9492,733,0.5902
0263_E._Stanley_Jones.fasta,4582,7,1.528,57.84,6,85.7,1.9560,3711,0.8108
0264_Castet-Arrouy.fasta,1700,3,1.765,49.28,3,100.0,1.9408,1229,0.7251
0265_Klezmer.fasta,3598,3,0.834,51.63,3,100.0,1.9419,2781,0.7740
0266_Fontvieille_Monaco.fasta,3459,6,1.735,48.76,4,66.7,1.8948,2763,0.7999
0267_Armond_White.fasta,4498,4,0.889,50.79,4,100.0,1.9512,3465,0.7712
0268_Giuseppe_Savoldi.fasta,2213,2,0.904,49.50,2,100.0,1.9624,1584,0.7174
0269_Great_Purge.fasta,2575,3,1.165,50.94,2,66.7,1.9450,1808,0.7035
0270_Carl_Bernstein.fasta,757,0,0.000,,0,,1.9642,362,0.4814
0271_Dead_Kennedys.fasta,3247,6,1.848,52.08,5,83.3,1.9167,2497,0.7702
0272_Butterfly_flower.fasta,2144,1,0.466,47.06,1,100.0,1.9511,1519,0.7101
0273_Saint-Vaast-en-Auge.fasta,4628,11,2.377,52.16,8,72.7,1.9558,3707,0.8019
0274_Marbled_cat.fasta,4830,4,0.828,48.32,3,75.0,1.9611,3837,0.7952
0275_Serhiy_Zhadan.fasta,3364,4,1.189,52.44,3,75.0,1.9470,2542,0.7568
0276_Star_Wars_sequel_trilogy.fasta,463,0,0.000,,0,,1.9286,204,0.4454
0277_J_rgen_M_llemann.fasta,1095,1,0.913,49.88,1,100.0,1.9473,595,0.5459
0278_Valignat.fasta,4577,8,1.748,52.13,7,87.5,1.9626,3567,0.7802
0279_Peterson_Zah.fasta,1695,1,0.590,51.40,1,100.0,1.9555,1074,0.6355
0280_Brunstatt.fasta,4304,1,0.232,48.55,1,100.0,1.9507,3258,0.7579
